row_labels,g,nr,pg,pg_13,r,tv_14,tv_g,tv_ma,tv_pg,tv_y,tv_y7,tv_y7_fv,ur,grand_total
2017,,,,,,90,,110,70,,41,42,,94.39
2016,35,124,60,,100,90,35,110,70,10,41,42,124,80.46232876712328
2015,35,,60,,100,90,35,110,70,10,41,42,,63.14678899082569
2014,35,124,60,,100,90,35,110,70,10,41,42,,67.48275862068965
2013,35,124,60,80,,90,35,110,70,10,41,42,,65.66666666666667
2012,35,,60,80,100,90,35,110,70,10,,,,69.77777777777777
Grand Total,35,124,60,80,100,90,35,110,70,10,41,42,124,76.57186081694402
